time,x,y,der(x),der(y),lambda
0,1,1,1,-1,0.3
0.1,1.1,0.9,1,-1,0.3
0.2,1.19,0.78433,0.9,-1.1567,0.3
0.3,1.268433,0.6555392086099999,0.78433,-1.2879079139,0.3
0.4,1.333986920861,0.5167207358126281,0.6555392086099999,-1.388184727973718,0.3
0.5,1.385658994442263,0.3712382021573786,0.5167207358126281,-1.454825336552495,0.3
0.6,1.422782814658001,0.2224255620222189,0.3712382021573786,-1.488126401351598,0.3
0.7,1.445025370860223,0.07331229247640841,0.2224255620222189,-1.491132695458105,0.3
0.7999999999999999,1.452356600107864,-0.07358337408332555,0.07331229247640841,-1.46895666559734,0.3
0.8999999999999999,1.444998262699531,-0.2163701653637112,-0.07358337408332555,-1.427867912803856,0.3
0.9999999999999999,1.42336124616316,-0.3538075397490782,-0.2163701653637112,-1.374373743853671,0.3
1.1,1.387980492188252,-0.4852539221872322,-0.3538075397490782,-1.31446382438154,0.3
1.2,1.339455099969529,-0.6105644864467935,-0.4852539221872322,-1.253105642595612,0.3
1.3,1.27839865132485,-0.7299637866498672,-0.6105644864467935,-1.193993002030735,0.3
1.4,1.205402272659863,-0.8439131027431411,-0.7299637866498672,-1.139493160932738,0.3
1.5,1.121010962385549,-0.9529846866710746,-0.8439131027431411,-1.090715839279333,0.3
1.6,1.025712493718441,-1.057747831952787,-0.9529846866710746,-1.04763145281712,0.3
1.7,0.9199377105231624,-1.158666261916781,-1.057747831952787,-1.009184299639943,0.3
1.8,0.8040710843314842,-1.256003150903026,-1.158666261916781,-0.9733688898624443,0.3
1.900000000000001,0.6784707692411815,-1.349729030718402,-1.256003150903026,-0.9372587981537625,0.3
2,0.5434978661693415,-1.439428655881528,-1.349729030718402,-0.8969962516312654,0.3
2.100000000000001,0.3995550005811885,-1.524205520254969,-1.439428655881528,-0.8477686437344083,0.3
2.200000000000001,0.2471344485556915,-1.602587268862309,-1.524205520254969,-0.783817486073397,0.3
2.300000000000001,0.08687572166946042,-1.672441970314739,-1.602587268862309,-0.698547014524297,0.3
2.400000000000001,-0.08036847536201361,-1.730924124386102,-1.672441970314739,-0.5848215407136276,0.3
2.500000000000001,-0.2534608878006239,-1.774479594645273,-1.730924124386102,-0.435554702591719,0.3
2.600000000000001,-0.4309088472651514,-1.798947987714997,-1.774479594645273,-0.244683930697233,0.3
2.700000000000001,-0.6108036460366513,-1.799804551354828,-1.798947987714997,-0.008565636398310206,0.3
2.800000000000001,-0.7907841011721342,-1.772574131761008,-1.799804551354828,0.2723041959381938,0.3
2.900000000000001,-0.9680415143482352,-1.713419127242189,-1.772574131761008,0.5915500451881972,0.3
3.000000000000001,-1.139383427072454,-1.619847972891231,-1.713419127242189,0.9357115435095759,0.3
3.100000000000001,-1.301368224361577,-1.491418732930918,-1.619847972891231,1.284292399603128,0.3
3.200000000000002,-1.450510097654669,-1.330250292518709,-1.491418732930918,1.61168440412209,0.3
3.300000000000002,-1.583535126906541,-1.14114220943704,-1.330250292518709,1.891080830816691,0.3
3.400000000000002,-1.697649347850245,-0.9311776818267996,-1.14114220943704,2.099645276102398,0.3
3.500000000000002,-1.790767116032925,-0.7088380833552946,-0.9311776818267996,2.223395984715048,0.3
3.600000000000002,-1.861650924368454,-0.4828324587147833,-0.7088380833552946,2.260056246405111,0.3
3.700000000000002,-1.909934170239932,-0.2609511267570405,-0.4828324587147833,2.218813319577426,0.3
3.800000000000002,-1.936029282915636,-0.04922893797507941,-0.2609511267570405,2.117221887819609,0.3
3.900000000000002,-1.940952176713144,0.1484327331961616,-0.04922893797507941,1.976616711712408,0.3
4.000000000000002,-1.926108903393528,0.3302052344864433,0.1484327331961616,1.817725012902824,0.3
4.100000000000001,-1.893088379944884,0.4959714743788652,0.3302052344864433,1.657662398924225,0.3
4.200000000000001,-1.843491232506997,0.6468358233138061,0.4959714743788652,1.508643489349414,0.3
4.300000000000001,-1.778807650175617,0.7846426525693271,0.6468358233138061,1.378068292555215,0.3
4.4,-1.700343384918685,0.9115807290050959,0.7846426525693271,1.269380764357693,0.3
4.5,-1.609185312018175,1.029896508584154,0.9115807290050959,1.18315779579058,0.3
4.6,-1.50619566115976,1.141705124019846,1.029896508584154,1.118086154356924,0.3
4.699999999999999,-1.392025148757776,1.2488728075845,1.141705124019846,1.071676835646545,0.3
4.799999999999999,-1.267137867999327,1.352942007106324,1.2488728075845,1.040691995218248,0.3
4.899999999999999,-1.131843667288695,1.455073985885055,1.352942007106324,1.021319787787312,0.3
4.999999999999998,-0.9863362687001896,1.555989019451876,1.455073985885055,1.009150335668212,0.3
5,-0.9863362687001869,1.555989019451878,1.555989019451876,0.9990054884177936,0.3
