time,x,y,der(x),der(y)
0.0,2.0,0.0,0.0,-2.0
0.1,2.0,-0.2,0.0,-2.0
0.2,2.0,-0.4,-0.2,-1.82
0.3,1.98,-0.582,-0.4,-1.64
0.4,1.94,-0.746,-0.582,-1.47009816
0.5,1.8818,-0.893009816,-0.746,-1.32150632
0.6,1.8072,-1.025160448,-0.893009816,-1.2010127415629
0.7,1.7178990184,-1.1452617221563,-1.025160448,-1.1103045880051
0.8,1.6153829736,-1.2562921809568,-1.1452617221563,-1.0475165061679
0.9,1.5008568013844,-1.3610438315736,-1.2562921809568,-1.0087965586963
1.0,1.3752275832887,-1.4619234874432,-1.3610438315736,-0.9894155349829
1.1,1.2391232001313,-1.5608650409415,-1.4619234874432,-0.9843453935538
1.2,1.092930851387,-1.6592995802969,-1.5608650409415,-0.9884047396403
1.3,0.9368443472929,-1.7581400542609,-1.6592995802969,-0.9961117931591
1.4,0.7709143892632,-1.8577512335768,-1.7581400542609,-1.001362462438
1.5,0.5951003838371,-1.9578874798206,-1.8577512335768,-0.9970162784408
1.6,0.4093252604794,-2.0575891076647,-1.9578874798206,-0.9744541224793
1.7,0.2135365124973,-2.1550345199126,-2.0575891076647,-0.9231790238749
1.8,0.0077776017309,-2.2473524223001,-2.1550345199126,-0.8305673912985
1.9,-0.2077258502604,-2.33040916143,-2.2473524223001,-0.6819425449825
2.0,-0.4324610924904,-2.3986034159282,-2.33040916143,-0.4612297313927
2.1,-0.6655020086334,-2.4447263890675,-2.3986034159282,-0.1525420206289
2.2,-0.9053623502262,-2.4599805911304,-2.4447263890675,0.2569096971931
2.3,-1.149834989133,-2.4342896214111,-2.4599805911304,0.7722879672456
2.4,-1.395833048246,-2.3570608246865,-2.4342896214111,1.3850753677629
2.5,-1.6392620103871,-2.2185532879102,-2.3570608246865,2.0664285664545
2.6,-1.8749680928558,-2.0119104312648,-2.2185532879102,2.7621915904758
2.7,-2.0968234216468,-1.7356912722172,-2.0119104312648,3.3932595284595
2.8,-2.2980144647733,-1.3963653193712,-1.7356912722172,3.8654937626537
2.9,-2.471583591995,-1.0098159431059,-1.3963653193712,4.0913121873996
3.0,-2.6112201239321,-0.6006847243659,-1.0098159431059,4.0192453151754
3.1,-2.7122017182427,-0.1987601928484,-0.6006847243659,3.6597400349096
3.2,-2.7722701906793,0.1672138106426,-0.1987601928484,3.0911999293988
3.3,-2.7921462099641,0.4763338035825,0.1672138106426,2.4368987138104
3.4,-2.7754248288999,0.7200236749635,0.4763338035825,1.8209853537868
3.5,-2.7277914485416,0.9021222103422,0.7200236749635,1.3275328971679
3.6,-2.6557890810453,1.034875500059,0.9021222103422,0.9846623290057
3.7,-2.5655768600111,1.1333417329595,1.034875500059,0.7764917113912
3.8,-2.4620893100052,1.2109909040987,1.1333417329595,0.6676200211595
3.9,-2.3487551367092,1.2777529062146,1.2109909040987,0.6231207489223
4.0,-2.2276560462993,1.3400649811068,1.2777529062146,0.6174060722079
4.1,-2.0998807556779,1.4018055883276,1.3400649811068,0.634673313788
4.2,-1.9658742575672,1.4652729197064,1.4018055883276,0.6660442511089
4.3,-1.8256936987344,1.5318773448173,1.4652729197064,0.7066209390961
4.4,-1.6791664067638,1.6025394387269,1.5318773448173,0.7534603723488
4.5,-1.525978672282,1.6778854759618,1.6025394387269,0.8043722637175
4.6,-1.3657247284093,1.7583227023336,1.6778854759618,0.85720158843
4.7,-1.1979361808132,1.8440428611766,1.7583227023336,0.9093323599809
4.8,-1.0221039105798,1.9349760971747,1.8440428611766,0.9572603219584
4.9,-0.8376996244621,2.0307021293705,1.9349760971747,0.9961579685558
