CoolSetpoint,THallway,TRoom202,TRoom203,TRoom205,TRoom206,TRoom208,TRoom212,TRoom214,TRoom219,TRoom220,TRoom222,TRoom224
23.0,23.7279147259472,23.4970977170441,23.3645945706199,23.3341321306606,23.3118738000449,23.1837436611416,23.273356264032,23.2107434956181,23.2462830791642,23.3183112844451,23.3177443313932,23.287228781629
23.0,23.5839003225033,23.3866826916894,23.2581902093074,23.2305727140651,23.2079923275786,23.0850229751318,23.1719929153262,23.1108713355564,23.1453369590147,23.2155644126517,23.214533676995,23.185753521085
23.0,23.3766859247323,23.2875264258706,23.1873000373537,23.1618776226318,23.1389339684297,23.0195758501278,23.1047643775397,23.0446482060231,23.0783080302482,23.1472751761368,23.1459104535138,23.118350892943
23.0,23.1386934998296,23.1582125943687,23.0762026728534,23.0540026835539,23.0305913221401,22.9166035654577,22.999137364727,22.940581640969,22.9727903080099,23.0396733596378,23.0378124718338,23.0120682608793
23.0,22.9445912399246,23.0175605439627,22.9419142403271,22.9237726094016,22.8999132575962,22.7922788935489,22.8716603855195,22.8150326219392,22.8453973574449,22.9096919405564,22.9072679110105,22.8836153226141
23.0,22.8016074276237,22.8846709703474,22.8094081875828,22.7946670849714,22.7704919047113,22.6698593709619,22.7452058170194,22.6911773438456,22.7200652384326,22.7817196304529,22.7787530067942,22.7572221189436
23.0,22.6955445214349,22.7693178954329,22.6907788895591,22.6781965880173,22.653908420892,22.5590916085386,22.6311002330288,22.5793472552195,22.6070012731299,22.6662649570942,22.6628553983704,22.6431614601819
23.0,22.6127244101082,22.6725107126937,22.5890991351884,22.5772249262395,22.5530385658894,22.4619063852205,22.5317567354481,22.4814662456207,22.507944699921,22.565321744076,22.5615934819686,22.5432511414503
23.0,22.5447851623022,22.5915132989434,22.5027587050754,22.4904229189624,22.4665134754043,22.3770784315702,22.4458727615138,22.396374972778,22.4216313399897,22.4775600287321,22.4736215764633,22.4561940871193
23.0,22.4874303758412,22.5230838850602,22.4290032897836,22.4154073820186,22.3918991952122,22.3027106235984,22.3712432187478,22.3221067944476,22.3460656102692,22.4008656727874,22.3968013041393,22.3799365275222
23.0,22.4382834982552,22.4645332697876,22.365363079987,22.3500247332404,22.3269983037041,22.2371120631499,22.3058953860827,22.2568655437115,22.2794675326918,22.3333596505587,22.329231377972,22.3126646270974
23.0,22.3957362136395,22.4138685341501,22.3099555058497,22.2926144932517,22.270118421365,22.1789500865334,22.248302035926,22.1992271205223,22.2204438007396,22.273583038695,22.2694357728792,22.252975264199
23.0,22.3585167940948,22.36962225987,22.2613702896294,22.24190928384,22.2199705558621,22.1271677330504,22.197282852745,22.1480683629909,22.1679002398921,22.2204010733684,22.2162673384303,22.1997763689205
23.0,22.3255598066687,22.3306536702837,22.2184939948161,22.1968882965892,22.1755191497345,22.080883132147,22.1518742774987,22.1024612378409,22.1209310308396,22.1728810884401,22.1687842959014,22.1521671695012
23.0,22.2959717807593,22.2959782410656,22.1803475249995,22.15664144304,22.1358433038433,22.0392980957611,22.1112110722681,22.0615704421968,22.0787195441258,22.1301839349634,22.1261401132606,22.1093352862747
23.0,22.2690306377999,22.2647759540773,22.1461003376226,22.1203860933141,22.1001526692911,22.0017143187234,22.0745436947389,22.0246700400355,22.04055300712,22.0915788775987,22.0875983008954,22.0705706681183
23.0,22.2441696822137,22.2363932791736,22.1150778882353,22.0874765454413,22.0677963873993,21.9675424838781,22.0412482534845,21.9911523655568,22.0058310669593,22.0564524399686,22.0525411429706,22.0352743823284
