aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
3	7.3255225409	0.0	15	1
3	8.3255225409	1.0	15	1
2	9.3255225409	0.0	15	2
2	10.3255225409	1.0	15	2
11	13.3255225409	0.0	15	3
11	14.3255225409	1.0	15	3
23	32.7767495295	0.0	15	4
23	33.7767495295	1.0	15	4
27	105.7767495295	0.0	15	5
27	106.7767495295	1.0	15	5
28	106.7767495295	0.0	15	6
28	107.7767495295	1.0	15	6
33	116.7767495295	0.0	15	7
33	117.7767495295	1.0	15	7
37	121.7767495295	0.0	15	8
37	122.7767495295	1.0	15	8
41	123.7767495295	0.0	15	9
41	124.7767495295	1.0	15	9
42	124.7767495295	0.0	15	10
42	125.7767495295	1.0	15	10
49	134.7767495295	0.0	15	11
49	135.7767495295	1.0	15	11
54	143.7767495295	0.0	15	12
54	144.7767495295	1.0	15	12
54	145.7767495295	2.0	15	12
55	148.7767495295	0.0	15	13
55	149.7767495295	1.0	15	13
59	152.7767495295	0.0	15	14
59	153.7767495295	1.0	15	14
59	154.7767495295	2.0	15	14
63	157.7767495295	0.0	15	15
63	158.7767495295	1.0	15	15
