aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
2	10.3255225409	0.0	16	1
2	11.3255225409	1.0	16	1
11	14.3255225409	0.0	16	2
11	15.3255225409	1.0	16	2
17	22.8064358027	0.0	16	3
17	23.8064358027	1.0	16	3
27	106.7767495295	0.0	16	4
27	107.7767495295	1.0	16	4
28	107.7767495295	0.0	16	5
28	108.7767495295	1.0	16	5
37	122.7767495295	0.0	16	6
37	123.7767495295	1.0	16	6
37	124.7767495295	2.0	16	6
37	125.7767495295	3.0	16	6
42	125.7767495295	0.0	16	7
42	126.7767495295	1.0	16	7
49	135.7767495295	0.0	16	8
49	136.7767495295	1.0	16	8
49	137.7767495295	2.0	16	8
52	140.7767495295	0.0	16	9
52	141.7767495295	1.0	16	9
52	142.7767495295	2.0	16	9
52	143.7767495295	3.0	16	9
52	144.7767495295	4.0	16	9
52	145.7767495295	5.0	16	9
52	146.7767495295	6.0	16	9
52	147.7767495295	7.0	16	9
53	147.7767495295	0.0	16	10
53	148.7767495295	1.0	16	10
57	156.7767495295	0.0	16	11
57	157.7767495295	1.0	16	11
61	157.7767495295	0.0	16	12
61	158.7767495295	1.0	16	12
63	158.7767495295	0.0	16	13
63	159.7767495295	1.0	16	13
