aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
2	11.3255225409	0.0	17	1
2	12.3255225409	1.0	17	1
11	15.3255225409	0.0	17	2
11	16.3255225409	1.0	17	2
18	27.4379383512	0.0	17	3
18	28.4379383512	1.0	17	3
27	107.7767495295	0.0	17	4
27	108.7767495295	1.0	17	4
28	108.7767495295	0.0	17	5
28	109.7767495295	1.0	17	5
49	137.7767495295	0.0	17	6
49	138.7767495295	1.0	17	6
38	147.7767495295	0.0	17	7
38	148.7767495295	1.0	17	7
57	157.7767495295	0.0	17	8
57	158.7767495295	1.0	17	8
61	158.7767495295	0.0	17	9
61	159.7767495295	1.0	17	9
63	159.7767495295	0.0	17	10
63	160.7767495295	1.0	17	10
64	162.7767495295	0.0	17	11
64	163.7767495295	1.0	17	11
