aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
4	8.3255225409	0.0	29	1
4	9.3255225409	1.0	29	1
5	9.3255225409	0.0	29	2
5	10.3255225409	1.0	29	2
5	11.3255225409	2.0	29	2
5	12.3255225409	3.0	29	2
18	29.4379383512	0.0	29	3
18	30.4379383512	1.0	29	3
27	109.7767495295	0.0	29	4
27	110.7767495295	1.0	29	4
40	125.7767495295	0.0	29	5
40	126.7767495295	1.0	29	5
43	132.7767495295	0.0	29	6
43	133.7767495295	1.0	29	6
44	134.7767495295	0.0	29	7
44	135.7767495295	1.0	29	7
38	149.7767495295	0.0	29	8
38	150.7767495295	1.0	29	8
57	159.7767495295	0.0	29	9
57	160.7767495295	1.0	29	9
65	160.7767495295	0.0	29	10
65	161.7767495295	1.0	29	10
66	161.7767495295	0.0	29	11
66	162.7767495295	1.0	29	11
66	163.7767495295	2.0	29	11
66	164.7767495295	3.0	29	11
