aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
4	6.3255225409	0.0	27	1
4	7.3255225409	1.0	27	1
5	7.3255225409	0.0	27	2
5	8.3255225409	1.0	27	2
13	15.3255225409	0.0	27	3
13	16.3255225409	1.0	27	3
15	17.3255225409	0.0	27	4
15	18.3255225409	1.0	27	4
15	19.3255225409	2.0	27	4
23	34.7767495295	0.0	27	5
23	35.7767495295	1.0	27	5
30	111.7767495295	0.0	27	6
30	112.7767495295	1.0	27	6
34	115.7767495295	0.0	27	7
34	116.7767495295	1.0	27	7
33	118.7767495295	0.0	27	8
33	119.7767495295	1.0	27	8
36	120.7767495295	0.0	27	9
36	121.7767495295	1.0	27	9
41	125.7767495295	0.0	27	10
41	126.7767495295	1.0	27	10
44	126.7767495295	0.0	27	11
44	127.7767495295	1.0	27	11
44	128.7767495295	2.0	27	11
44	129.7767495295	3.0	27	11
44	130.7767495295	4.0	27	11
44	131.7767495295	5.0	27	11
53	138.7767495295	0.0	27	12
53	139.7767495295	1.0	27	12
54	147.7767495295	0.0	27	13
54	148.7767495295	1.0	27	13
65	158.7767495295	0.0	27	14
65	159.7767495295	1.0	27	14
66	159.7767495295	0.0	27	15
66	160.7767495295	1.0	27	15
