aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
4	5.3255225409	0.0	26	1
4	6.3255225409	1.0	26	1
5	6.3255225409	0.0	26	2
5	7.3255225409	1.0	26	2
13	14.3255225409	0.0	26	3
13	15.3255225409	1.0	26	3
15	16.3255225409	0.0	26	4
15	17.3255225409	1.0	26	4
19	25.4514820815	0.0	26	5
19	26.4514820815	1.0	26	5
22	104.7767495295	0.0	26	6
22	105.7767495295	1.0	26	6
26	105.7767495295	0.0	26	7
26	106.7767495295	1.0	26	7
26	107.7767495295	2.0	26	7
30	110.7767495295	0.0	26	8
30	111.7767495295	1.0	26	8
34	114.7767495295	0.0	26	9
34	115.7767495295	1.0	26	9
32	116.7767495295	0.0	26	10
32	117.7767495295	1.0	26	10
32	118.7767495295	2.0	26	10
35	118.7767495295	0.0	26	11
35	119.7767495295	1.0	26	11
35	120.7767495295	2.0	26	11
44	125.7767495295	0.0	26	12
44	126.7767495295	1.0	26	12
53	137.7767495295	0.0	26	13
53	138.7767495295	1.0	26	13
61	153.7767495295	0.0	26	14
61	154.7767495295	1.0	26	14
65	157.7767495295	0.0	26	15
65	158.7767495295	1.0	26	15
66	158.7767495295	0.0	26	16
66	159.7767495295	1.0	26	16
