aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
4	7.3255225409	0.0	28	1
4	8.3255225409	1.0	28	1
5	8.3255225409	0.0	28	2
5	9.3255225409	1.0	28	2
13	16.3255225409	0.0	28	3
13	17.3255225409	1.0	28	3
17	24.8064358027	0.0	28	4
17	25.8064358027	1.0	28	4
34	116.7767495295	0.0	28	5
34	117.7767495295	1.0	28	5
39	123.7767495295	0.0	28	6
39	124.7767495295	1.0	28	6
37	126.7767495295	0.0	28	7
37	127.7767495295	1.0	28	7
37	128.7767495295	2.0	28	7
42	128.7767495295	0.0	28	8
42	129.7767495295	1.0	28	8
42	130.7767495295	2.0	28	8
44	131.7767495295	0.0	28	9
44	132.7767495295	1.0	28	9
44	133.7767495295	2.0	28	9
44	134.7767495295	3.0	28	9
53	139.7767495295	0.0	28	10
53	140.7767495295	1.0	28	10
54	148.7767495295	0.0	28	11
54	149.7767495295	1.0	28	11
65	159.7767495295	0.0	28	12
65	160.7767495295	1.0	28	12
66	160.7767495295	0.0	28	13
66	161.7767495295	1.0	28	13
