aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
3	8.3255225409	0.0	21	1
3	9.3255225409	1.0	21	1
23	33.7767495295	0.0	21	2
23	34.7767495295	1.0	21	2
12	58.3255225409	0.0	21	3
12	59.3255225409	1.0	21	3
33	117.7767495295	0.0	21	4
33	118.7767495295	1.0	21	4
36	119.7767495295	0.0	21	5
36	120.7767495295	1.0	21	5
39	121.7767495295	0.0	21	6
39	122.7767495295	1.0	21	6
40	122.7767495295	0.0	21	7
40	123.7767495295	1.0	21	7
41	124.7767495295	0.0	21	8
41	125.7767495295	1.0	21	8
43	125.7767495295	0.0	21	9
43	126.7767495295	1.0	21	9
43	127.7767495295	2.0	21	9
43	128.7767495295	3.0	21	9
43	129.7767495295	4.0	21	9
52	138.7767495295	0.0	21	10
52	139.7767495295	1.0	21	10
54	145.7767495295	0.0	21	11
54	146.7767495295	1.0	21	11
54	147.7767495295	2.0	21	11
61	155.7767495295	0.0	21	12
61	156.7767495295	1.0	21	12
64	159.7767495295	0.0	21	13
64	160.7767495295	1.0	21	13
