aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
12	57.3255225409	0.0	20	1
12	58.3255225409	1.0	20	1
22	58.7767495295	0.0	20	2
22	59.7767495295	1.0	20	2
22	60.7767495295	2.0	20	2
22	61.7767495295	3.0	20	2
22	62.7767495295	4.0	20	2
22	63.7767495295	5.0	20	2
22	64.7767495295	6.0	20	2
22	65.7767495295	7.0	20	2
22	66.7767495295	8.0	20	2
22	67.7767495295	9.0	20	2
22	68.7767495295	10.0	20	2
22	69.7767495295	11.0	20	2
22	70.7767495295	12.0	20	2
22	71.7767495295	13.0	20	2
22	72.7767495295	14.0	20	2
22	73.7767495295	15.0	20	2
22	74.7767495295	16.0	20	2
22	75.7767495295	17.0	20	2
22	76.7767495295	18.0	20	2
22	77.7767495295	19.0	20	2
22	78.7767495295	20.0	20	2
22	79.7767495295	21.0	20	2
22	80.7767495295	22.0	20	2
22	81.7767495295	23.0	20	2
22	82.7767495295	24.0	20	2
22	83.7767495295	25.0	20	2
22	84.7767495295	26.0	20	2
22	85.7767495295	27.0	20	2
22	86.7767495295	28.0	20	2
22	87.7767495295	29.0	20	2
22	88.7767495295	30.0	20	2
22	89.7767495295	31.0	20	2
22	90.7767495295	32.0	20	2
22	91.7767495295	33.0	20	2
22	92.7767495295	34.0	20	2
22	93.7767495295	35.0	20	2
22	94.7767495295	36.0	20	2
22	95.7767495295	37.0	20	2
22	96.7767495295	38.0	20	2
22	97.7767495295	39.0	20	2
22	98.7767495295	40.0	20	2
22	99.7767495295	41.0	20	2
22	100.7767495295	42.0	20	2
22	101.7767495295	43.0	20	2
22	102.7767495295	44.0	20	2
22	103.7767495295	45.0	20	2
22	104.7767495295	46.0	20	2
26	104.7767495295	0.0	20	3
26	105.7767495295	1.0	20	3
32	115.7767495295	0.0	20	4
32	116.7767495295	1.0	20	4
35	116.7767495295	0.0	20	5
35	117.7767495295	1.0	20	5
35	118.7767495295	2.0	20	5
36	118.7767495295	0.0	20	6
36	119.7767495295	1.0	20	6
39	120.7767495295	0.0	20	7
39	121.7767495295	1.0	20	7
40	121.7767495295	0.0	20	8
40	122.7767495295	1.0	20	8
43	124.7767495295	0.0	20	9
43	125.7767495295	1.0	20	9
52	137.7767495295	0.0	20	10
52	138.7767495295	1.0	20	10
61	154.7767495295	0.0	20	11
61	155.7767495295	1.0	20	11
63	155.7767495295	0.0	20	12
63	156.7767495295	1.0	20	12
64	158.7767495295	0.0	20	13
64	159.7767495295	1.0	20	13
