aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
3	9.3255225409	0.0	22	1
3	10.3255225409	1.0	22	1
17	23.8064358027	0.0	22	2
17	24.8064358027	1.0	22	2
12	59.3255225409	0.0	22	3
12	60.3255225409	1.0	22	3
39	122.7767495295	0.0	22	4
39	123.7767495295	1.0	22	4
40	123.7767495295	0.0	22	5
40	124.7767495295	1.0	22	5
37	125.7767495295	0.0	22	6
37	126.7767495295	1.0	22	6
42	126.7767495295	0.0	22	7
42	127.7767495295	1.0	22	7
42	128.7767495295	2.0	22	7
43	129.7767495295	0.0	22	8
43	130.7767495295	1.0	22	8
52	139.7767495295	0.0	22	9
52	140.7767495295	1.0	22	9
53	140.7767495295	0.0	22	10
53	141.7767495295	1.0	22	10
53	142.7767495295	2.0	22	10
53	143.7767495295	3.0	22	10
53	144.7767495295	4.0	22	10
53	145.7767495295	5.0	22	10
53	146.7767495295	6.0	22	10
53	147.7767495295	7.0	22	10
61	156.7767495295	0.0	22	11
61	157.7767495295	1.0	22	11
64	160.7767495295	0.0	22	12
64	161.7767495295	1.0	22	12
