aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
39	57.7767495295	0.0	20	1
39	58.7767495295	1.0	20	1
40	58.7767495295	0.0	20	2
40	59.7767495295	1.0	20	2
22	60.7767495295	0.0	20	3
22	61.7767495295	1.0	20	3
22	62.7767495295	2.0	20	3
22	63.7767495295	3.0	20	3
22	64.7767495295	4.0	20	3
22	65.7767495295	5.0	20	3
22	66.7767495295	6.0	20	3
22	67.7767495295	7.0	20	3
22	68.7767495295	8.0	20	3
22	69.7767495295	9.0	20	3
22	70.7767495295	10.0	20	3
22	71.7767495295	11.0	20	3
22	72.7767495295	12.0	20	3
22	73.7767495295	13.0	20	3
22	74.7767495295	14.0	20	3
22	75.7767495295	15.0	20	3
22	76.7767495295	16.0	20	3
22	77.7767495295	17.0	20	3
22	78.7767495295	0.0	20	4
22	79.7767495295	1.0	20	4
22	80.7767495295	2.0	20	4
22	81.7767495295	3.0	20	4
22	82.7767495295	4.0	20	4
22	83.7767495295	5.0	20	4
22	84.7767495295	6.0	20	4
22	85.7767495295	7.0	20	4
22	86.7767495295	8.0	20	4
22	87.7767495295	0.0	20	5
22	88.7767495295	1.0	20	5
22	89.7767495295	2.0	20	5
22	90.7767495295	3.0	20	5
22	91.7767495295	4.0	20	5
22	92.7767495295	5.0	20	5
22	93.7767495295	6.0	20	5
22	94.7767495295	7.0	20	5
22	95.7767495295	8.0	20	5
22	96.7767495295	9.0	20	5
22	97.7767495295	10.0	20	5
22	98.7767495295	11.0	20	5
22	99.7767495295	12.0	20	5
22	100.7767495295	13.0	20	5
22	101.7767495295	14.0	20	5
22	102.7767495295	15.0	20	5
22	103.7767495295	16.0	20	5
22	104.7767495295	17.0	20	5
22	105.7767495295	18.0	20	5
46	106.7767495295	0.0	20	6
46	107.7767495295	1.0	20	6
46	108.7767495295	2.0	20	6
46	109.7767495295	3.0	20	6
46	110.7767495295	4.0	20	6
46	111.7767495295	5.0	20	6
46	112.7767495295	6.0	20	6
46	113.7767495295	7.0	20	6
45	113.7767495295	0.0	20	7
45	114.7767495295	1.0	20	7
45	115.7767495295	2.0	20	7
45	116.7767495295	3.0	20	7
45	117.7767495295	4.0	20	7
50	118.7767495295	0.0	20	8
50	119.7767495295	1.0	20	8
50	120.7767495295	2.0	20	8
50	121.7767495295	3.0	20	8
50	122.7767495295	4.0	20	8
50	123.7767495295	5.0	20	8
50	124.7767495295	6.0	20	8
50	125.7767495295	7.0	20	8
50	126.7767495295	8.0	20	8
50	127.7767495295	9.0	20	8
50	128.7767495295	10.0	20	8
50	129.7767495295	11.0	20	8
50	130.7767495295	12.0	20	8
50	131.7767495295	13.0	20	8
50	132.7767495295	14.0	20	8
50	133.7767495295	15.0	20	8
50	134.7767495295	16.0	20	8
50	135.7767495295	17.0	20	8
50	136.7767495295	18.0	20	8
50	137.7767495295	19.0	20	8
50	138.7767495295	20.0	20	8
50	139.7767495295	21.0	20	8
50	140.7767495295	22.0	20	8
50	141.7767495295	23.0	20	8
50	142.7767495295	24.0	20	8
50	143.7767495295	25.0	20	8
50	144.7767495295	26.0	20	8
50	145.7767495295	27.0	20	8
50	146.7767495295	28.0	20	8
50	147.7767495295	29.0	20	8
50	148.7767495295	30.0	20	8
50	149.7767495295	31.0	20	8
50	150.7767495295	32.0	20	8
50	151.7767495295	33.0	20	8
50	152.7767495295	34.0	20	8
50	153.7767495295	35.0	20	8
50	154.7767495295	36.0	20	8
50	155.7767495295	37.0	20	8
50	156.7767495295	38.0	20	8
50	157.7767495295	39.0	20	8
50	158.7767495295	40.0	20	8
50	159.7767495295	41.0	20	8
50	160.7767495295	42.0	20	8
50	161.7767495295	43.0	20	8
50	162.7767495295	44.0	20	8
50	163.7767495295	45.0	20	8
50	164.7767495295	46.0	20	8
50	165.7767495295	47.0	20	8
50	166.7767495295	48.0	20	8
50	167.7767495295	49.0	20	8
50	168.7767495295	50.0	20	8
50	169.7767495295	51.0	20	8
50	170.7767495295	52.0	20	8
50	171.7767495295	53.0	20	8
50	172.7767495295	54.0	20	8
50	173.7767495295	55.0	20	8
50	174.7767495295	56.0	20	8
50	175.7767495295	57.0	20	8
50	176.7767495295	58.0	20	8
50	177.7767495295	59.0	20	8
50	178.7767495295	60.0	20	8
50	179.7767495295	61.0	20	8
50	180.7767495295	62.0	20	8
50	181.7767495295	63.0	20	8
50	182.7767495295	64.0	20	8
50	183.7767495295	65.0	20	8
50	184.7767495295	66.0	20	8
50	185.7767495295	67.0	20	8
50	186.7767495295	68.0	20	8
50	187.7767495295	69.0	20	8
50	188.7767495295	70.0	20	8
50	189.7767495295	71.0	20	8
50	190.7767495295	72.0	20	8
50	191.7767495295	73.0	20	8
50	192.7767495295	74.0	20	8
50	193.7767495295	75.0	20	8
50	194.7767495295	76.0	20	8
50	195.7767495295	77.0	20	8
50	196.7767495295	78.0	20	8
50	197.7767495295	79.0	20	8
50	198.7767495295	80.0	20	8
50	199.7767495295	81.0	20	8
50	200.7767495295	82.0	20	8
50	201.7767495295	83.0	20	8
50	202.7767495295	84.0	20	8
50	203.7767495295	85.0	20	8
50	204.7767495295	86.0	20	8
50	205.7767495295	87.0	20	8
50	206.7767495295	88.0	20	8
50	207.7767495295	89.0	20	8
50	208.7767495295	90.0	20	8
50	209.7767495295	91.0	20	8
50	210.7767495295	92.0	20	8
50	211.7767495295	93.0	20	8
50	212.7767495295	94.0	20	8
50	213.7767495295	95.0	20	8
50	214.7767495295	96.0	20	8
50	215.7767495295	97.0	20	8
50	216.7767495295	98.0	20	8
50	217.7767495295	99.0	20	8
50	218.7767495295	100.0	20	8
50	219.7767495295	101.0	20	8
50	220.7767495295	102.0	20	8
50	221.7767495295	103.0	20	8
50	222.7767495295	104.0	20	8
50	223.7767495295	105.0	20	8
50	224.7767495295	106.0	20	8
50	225.7767495295	107.0	20	8
50	226.7767495295	108.0	20	8
50	227.7767495295	109.0	20	8
50	228.7767495295	110.0	20	8
50	229.7767495295	111.0	20	8
50	230.7767495295	112.0	20	8
50	231.7767495295	113.0	20	8
50	232.7767495295	114.0	20	8
50	233.7767495295	115.0	20	8
50	234.7767495295	116.0	20	8
50	235.7767495295	117.0	20	8
50	236.7767495295	118.0	20	8
50	237.7767495295	119.0	20	8
50	238.7767495295	120.0	20	8
50	239.7767495295	121.0	20	8
50	240.7767495295	122.0	20	8
50	241.7767495295	123.0	20	8
50	242.7767495295	124.0	20	8
50	243.7767495295	125.0	20	8
50	244.7767495295	126.0	20	8
50	245.7767495295	127.0	20	8
50	246.7767495295	128.0	20	8
50	247.7767495295	129.0	20	8
