averageOfFlightDuration	currentTime
8.0	8.0
6.0	9.3255225409
6.6666666666667	11.3255225409
6.25	11.3255225409
6.8	13.3255225409
6.6666666666667	14.3255225409
7.5714285714286	15.3255225409
8.375	15.3255225409
8.2222222222222	16.3255225409
8.4	17.3255225409
7.9090909090909	18.3255225409
7.75	18.3255225409
7.7692307692308	18.3255225409
7.6428571428571	20.3255225409
7.6666666666667	21.3255225409
7.8125	26.8064358027
7.5882352941176	27.4514820815
7.7777777777778	31.4379383512
8.0	36.4514820815
8.0	36.7767495295
8.1428571428571	40.7767495295
9.3181818181818	60.7767495295
9.1739130434783	62.7767495295
10.9583333333333	63.3255225409
13.68	106.7767495295
15.1153846153846	108.7767495295
14.7777777777778	110.7767495295
16.1428571428571	111.7767495295
15.7586206896552	113.7767495295
15.5666666666667	113.7767495295
15.3225806451613	117.7767495295
15.03125	118.7767495295
14.8484848484848	119.7767495295
14.6764705882353	120.7767495295
14.4571428571429	121.7767495295
14.25	122.7767495295
14.0540540540541	125.7767495295
13.8684210526316	127.7767495295
13.7179487179487	127.7767495295
13.7	129.7767495295
13.609756097561	131.7767495295
13.4285714285714	131.7767495295
13.2558139534884	133.7767495295
13.1590909090909	133.7767495295
13.1555555555556	135.7767495295
13.1739130434783	137.7767495295
13.0212765957447	137.7767495295
12.9583333333333	138.7767495295
12.8163265306122	139.7767495295
12.8	141.7767495295
12.8039215686275	150.7767495295
13.2115384615385	151.7767495295
13.2830188679245	151.7767495295
13.3518518518519	152.7767495295
13.2363636363636	152.7767495295
13.2321428571429	159.7767495295
13.2456140350877	161.7767495295
13.1896551724138	161.7767495295
13.0338983050847	161.7767495295
12.95	163.7767495295
12.983606557377	163.7767495295
12.9354838709677	163.7767495295
12.8730158730159	165.7767495295
12.84375	165.7767495295
