averageOfDelayInAirport	currentTime
0.0	8.0
0.14780152925	9.3255225409
0.1591519874667	11.3255225409
0.284651731275	11.3255225409
0.44945454916	13.3255225409
0.7437912016667	14.3255225409
0.7481124203714	15.3255225409
0.654598367825	15.3255225409
0.9071612939667	16.3255225409
0.96284519287	17.3255225409
0.9803186311182	18.3255225409
0.9970757372917	18.3255225409
1.0542355814692	18.3255225409
0.9974404614429	20.3255225409
1.0566251594467	21.3255225409
0.9905860869812	26.8064358027
0.9323163171588	27.4514820815
0.8805209662056	31.4379383512
0.8608338938368	36.4514820815
0.866352714935	36.7767495295
0.9123024402	40.7767495295
0.8708341474636	60.7767495295
2.0736206931783	62.7767495295
2.079522516125	63.3255225409
2.035201655748	106.7767495295
3.0388102774423	108.7767495295
5.6971354434259	110.7767495295
6.5326119618179	111.7767495295
8.9900462033069	113.7767495295
11.1559292469733	113.7767495295
13.3140528681194	117.7767495295
15.3276364221344	118.7767495295
17.2457241789727	119.7767495295
19.0655605823294	120.7767495295
20.7952309653171	121.7767495295
22.4383830120139	122.7767495295
24.0213811743378	125.7767495295
25.5153864699263	127.7767495295
26.9535235059641	127.7767495295
28.278931853405	129.7767495295
29.5614458558854	131.7767495295
30.6517998297048	131.7767495295
31.7208264402256	133.7767495295
32.7571024925273	133.7767495295
33.8309858965733	135.7767495295
34.7674637039217	137.7767495295
35.681659246934	137.7767495295
36.5024237809896	138.7767495295
37.3799944367184	139.7767495295
38.152531208972	141.7767495295
38.9579355896098	150.7767495295
39.7500109436115	151.7767495295
40.5078370426434	151.7767495295
41.2326807884889	152.7767495295
42.0532578269309	152.7767495295
42.8540339470089	159.7767495295
43.6409794154281	161.7767495295
44.4048525884121	161.7767495295
45.0830945728153	161.7767495295
45.7637707618767	163.7767495295
46.4391632377312	163.7767495295
47.1312605822194	163.7767495295
47.7188370452286	165.7767495295
48.3317476578688	165.7767495295
