aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
2	12.3255225409	0.0	11	1
2	13.3255225409	1.0	11	1
8	14.3255225409	0.0	11	2
8	15.3255225409	1.0	11	2
18	26.4379383512	0.0	11	3
18	27.4379383512	1.0	11	3
24	34.7767495295	0.0	11	4
24	35.7767495295	1.0	11	4
49	138.7767495295	0.0	11	5
49	139.7767495295	1.0	11	5
38	146.7767495295	0.0	11	6
38	147.7767495295	1.0	11	6
53	149.7767495295	0.0	11	7
53	150.7767495295	1.0	11	7
56	154.7767495295	0.0	11	8
56	155.7767495295	1.0	11	8
56	156.7767495295	2.0	11	8
58	157.7767495295	0.0	11	9
58	158.7767495295	1.0	11	9
58	159.7767495295	2.0	11	9
63	160.7767495295	0.0	11	10
63	161.7767495295	1.0	11	10
