aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
8	11.3255225409	0.0	10	1
8	12.3255225409	1.0	10	1
8	13.3255225409	2.0	10	1
8	14.3255225409	3.0	10	1
17	21.8064358027	0.0	10	2
17	22.8064358027	1.0	10	2
24	33.7767495295	0.0	10	3
24	34.7767495295	1.0	10	3
38	145.7767495295	0.0	10	4
38	146.7767495295	1.0	10	4
52	147.7767495295	0.0	10	5
52	148.7767495295	1.0	10	5
53	148.7767495295	0.0	10	6
53	149.7767495295	1.0	10	6
56	152.7767495295	0.0	10	7
56	153.7767495295	1.0	10	7
56	154.7767495295	2.0	10	7
57	154.7767495295	0.0	10	8
57	155.7767495295	1.0	10	8
57	156.7767495295	2.0	10	8
