aircraftId	currentTime	delayOfaircraft	trackId	trackLoad
2	13.3255225409	0.0	12	1
2	14.3255225409	1.0	12	1
8	15.3255225409	0.0	12	2
8	16.3255225409	1.0	12	2
20	31.4514820815	0.0	12	3
20	32.4514820815	1.0	12	3
24	35.7767495295	0.0	12	4
24	36.7767495295	1.0	12	4
53	150.7767495295	0.0	12	5
53	151.7767495295	1.0	12	5
56	156.7767495295	0.0	12	6
56	157.7767495295	1.0	12	6
58	159.7767495295	0.0	12	7
58	160.7767495295	1.0	12	7
58	161.7767495295	2.0	12	7
63	161.7767495295	0.0	12	8
63	162.7767495295	1.0	12	8
