averageOfDelayInAirport	currentTime
0.0	8.0
0.14780152925	9.3255225409
0.1591519874667	11.3255225409
0.284651731275	11.3255225409
0.22772138502	12.3255225409
0.3745454576333	13.3255225409
0.4316160683429	13.3255225409
0.654598367825	14.3255225409
0.7445319139556	15.3255225409
0.96284519287	16.3255225409
0.9803186311182	18.3255225409
0.9970757372917	18.3255225409
1.0542355814692	18.3255225409
0.9974404614429	20.3255225409
1.0566251594467	21.3255225409
1.129040114725	22.3255225409
1.0626259903294	26.8064358027
1.0035912130889	27.4514820815
0.9507706229263	31.4379383512
0.90323209178	32.7767495295
0.9809317397381	35.7767495295
0.9593651420773	36.4514820815
0.9598801496304	36.7767495295
1.2037847166875	40.7767495295
1.22888520584	40.7767495295
1.4815513504231	43.7767495295
1.5781782618296	43.7767495295
1.7349053779536	45.7767495295
1.9422785234241	48.7767495295
2.1976700388733	49.7767495295
2.3867052473774	53.7767495295
2.6542677285969	54.7767495295
3.028663101003	62.7767495295
3.4867239178971	64.7767495295
3.6476792886171	68.7767495295
3.9115174749806	75.7767495295
4.2867084190811	80.7767495295
4.7492162489763	89.7767495295
4.6523517555846	107.7767495295
4.810289396785	111.7767495295
6.107766071239	124.7767495295
