averageOfFlightDuration	currentTime
8.0	8.0
6.0	9.3255225409
6.6666666666667	11.3255225409
6.25	11.3255225409
7.2	12.3255225409
7.5	13.3255225409
8.0	13.3255225409
7.75	14.3255225409
7.7777777777778	15.3255225409
7.7	16.3255225409
7.2727272727273	18.3255225409
7.1666666666667	18.3255225409
7.2307692307692	18.3255225409
7.1428571428571	20.3255225409
7.2	21.3255225409
7.4375	22.3255225409
7.5882352941176	26.8064358027
7.3888888888889	27.4514820815
7.5789473684211	31.4379383512
7.5	32.7767495295
7.3809523809524	35.7767495295
7.5909090909091	36.4514820815
7.6086956521739	36.7767495295
7.4583333333333	40.7767495295
7.6	40.7767495295
7.5	43.7767495295
7.5925925925926	43.7767495295
7.6785714285714	45.7767495295
7.6206896551724	48.7767495295
7.5333333333333	49.7767495295
7.741935483871	53.7767495295
7.75	54.7767495295
7.8181818181818	62.7767495295
7.8235294117647	64.7767495295
8.3714285714286	68.7767495295
8.8333333333333	75.7767495295
9.2162162162162	80.7767495295
9.6842105263158	89.7767495295
11.4871794871795	107.7767495295
12.8	111.7767495295
12.8048780487805	124.7767495295
